team,team_tm_major,team_tm_minor,KBO_ID,TM_ID,NAME,POS,BackNum,engName,Birthday,Height,Weight,PitcherThrows,BatterSide,프로필변동,plyer_info_2022,팀변경
롯데,LOT_GIA,MIN_LOT,50500,50500,황성빈,OF,1,"Hwang, Seong Bin",19971219,172,76,Right,Left,X,,
삼성,SAM_LIO,MIN_SAM,74540,74540,강민호,C,47,"Kang, Min Ho",19850818,185,100,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,53460,53460,강준서,IF,60,"Kang, Jun Seo",20001013,183,85,Right,Right,O,X,
삼성,SAM_LIO,MIN_SAM,64610,64610,강한울,IF,6,"Kang, Han Wool",19910912,181,66,Right,Left,X,,
삼성,SAM_LIO,MIN_SAM,68407,68407,공민규,IF,9,"Kong, Min Gyu",19990927,183,85,Right,Left,X,,
삼성,SAM_LIO,MIN_SAM,62404,62404,구자욱,OF,5,"Koo, Ja Wook",19930212,189,75,Right,Left,X,,
삼성,SAM_LIO,MIN_SAM,61365,61365,김대우,P,17,"Kim, Dae Woo",19881121,183,85,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,66838,66838,김동엽,OF,38,"Kim, Dong Yub",19900724,186,101,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,51403,51403,김동진,IF,3,"Kim, Dong Jin",19961218,184,84,Right,Left,X,,
삼성,SAM_LIO,MIN_SAM,64793,64793,김민수,C,12,"Kim, Min Su",19910302,177,80,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,53421,53421,김민호,IF,121,"Kim, Min Ho",20031228,185,93,Right,Right,O,X,
삼성,SAM_LIO,MIN_SAM,52402,52402,김상민,OF,102,"Kim, Sang Min",20031206,183,83,Right,Left,X,,
삼성,SAM_LIO,MIN_SAM,52460,52460,김서준,P,53,"Kim, Seo Jun",20030901,183,78,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,67449,67449,김성윤,OF,39,"Kim, Seong Yoon",19990202,163,62,Left,Left,X,,
삼성,SAM_LIO,MIN_SAM,53464,53464,김시온,P,64,"Kim, Si On",20031030,189,89,Left,Left,O,X,
삼성,SAM_LIO,MIN_SAM,67467,67467,김시현,P,100,"Kim, Si Hyun",19980926,181,89,Right,Right,O,X,
삼성,SAM_LIO,MIN_SAM,52430,52430,김영웅,IF,30,"Kim, Young Woong",20030824,183,81,Right,Left,X,,
삼성,SAM_LIO,MIN_SAM,68453,68453,김용하,P,0,"Kim, Yong Ha",19990727,185,85,Right,Right,O,X,
삼성,SAM_LIO,MIN_SAM,53400,53400,김재상,IF,0,"Kim, Jae Sang",20040726,180,81,Right,Left,O,X,
삼성,SAM_LIO,MIN_SAM,65132,65132,김재성,C,48,"Kim, Jae Seong",19961030,185,85,Right,Left,X,,
삼성,SAM_LIO,MIN_SAM,50458,50458,김지찬,IF,58,"Kim, Ji Chan",20010308,163,64,Right,Left,X,,
KIA,KIA_TIG,MIN_KIA,78122,78122,김태군,C,42,"Kim, Tae Gun",19891230,182,92,Right,Right,X,,team change
삼성,SAM_LIO,MIN_SAM,68454,68454,김태우,P,113,"Kim, Tae Woo",19990915,193,92,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,65040,65040,김태훈,OF,24,"Kim, Tae Hoon",19960331,177,78,Right,Left,O,,team change
삼성,SAM_LIO,MIN_SAM,61404,61404,김헌곤,OF,34,"Kim, Hun Gon",19881109,174,81,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,51417,51417,김현준,OF,41,"Kim, Hyeon Joon",20021011,178,78,Left,Left,X,,
삼성,SAM_LIO,MIN_SAM,64407,64407,김호재,IF,8,"Kim, Ho Jae",19950531,178,72,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,62920,62920,노건우,P,37,"No, Kun Woo",19891022,182,100,Left,Left,X,,
삼성,SAM_LIO,MIN_SAM,53404,53404,류승민,OF,104,"Ryu, Seung Min",20041011,185,90,Left,Left,O,X,
삼성,SAM_LIO,MIN_SAM,68409,68409,맹성주,P,106,"Maeng, Sung Ju",19990907,183,80,Right,Right,O,X,
삼성,SAM_LIO,MIN_SAM,67419,67419,문용익,P,43,"Mon, Yong Ik",19950204,178,93,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,53469,53469,박권후,P,69,"Park, Kwon Hoo",20040528,184,80,Right,Right,O,X,
삼성,SAM_LIO,MIN_SAM,65844,65844,박세웅,P,50,"Park, Se Wong",19960510,180,87,Left,Left,X,,
삼성,SAM_LIO,MIN_SAM,53409,53409,박시원,P,109,"Park, Si Won",20040316,187,96,Right,Right,O,X,
삼성,SAM_LIO,MIN_SAM,68406,68406,박용민,P,101,"Park, Yong Min",19990320,193,100,Right,Right,O,X,
삼성,SAM_LIO,MIN_SAM,53416,53416,박장민,IF,116,"Park, Jang Min",20030902,179,80,Right,Right,O,X,
삼성,SAM_LIO,MIN_SAM,50411,50411,박주혁,P,68,"Park, Ju Hyeok",20010518,182,82,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,53411,53411,박진우,C,111,"Park, Jin Woo",20031014,176,87,Right,Right,O,X,
삼성,SAM_LIO,MIN_SAM,77446,77446,백정현,P,29,"Baek, Jung Hyun",19870713,184,80,Left,Left,X,,
삼성,SAM_LIO,MIN_SAM,50404,571527,뷰캐넌,P,4,"Buchanan, David",19890511,190,90,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,68468,68468,서주원,C,120,"Seo, Ju Won",19990131,173,85,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,53428,53428,서현원,P,28,"Seo, Hyun Won",20040228,187,78,Right,Right,O,X,
삼성,SAM_LIO,MIN_SAM,64469,64469,송준석,OF,52,"Song, Jun Suk",19940504,176,78,Left,Left,X,,
삼성,SAM_LIO,MIN_SAM,52457,544150,수아레즈,P,57,"Suarez, Albert",19891008,190,120,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,53415,53415,신윤호,P,15,"Shin, Yun Ho",20040908,183,85,Right,Right,O,X,
삼성,SAM_LIO,MIN_SAM,52440,52440,신정환,P,40,"Shin, Jung Hwan",20030428,188,83,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,66406,66406,안주형,IF,14,"An, Ju Hyeong",19930814,176,68,Right,Left,X,,
삼성,SAM_LIO,MIN_SAM,69403,69403,양우현,IF,105,"Yang, Woo Hyun",20000413,175,82,Right,Left,O,X,
삼성,SAM_LIO,MIN_SAM,68415,68415,양창섭,P,1,"Yang, Chang Seop",19990922,182,85,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,75421,75421,오승환,P,21,"Oh, Seung Hwan",19820715,178,93,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,75334,75334,오재일,IF,44,"Oh, Jae Il",19861029,187,95,Left,Left,X,,
삼성,SAM_LIO,MIN_SAM,51466,51466,오현석,IF,103,"Oh, Hyeon Seok",20010305,183,99,Right,Left,O,X,
삼성,SAM_LIO,MIN_SAM,73117,73117,우규민,P,2,"Woo, Kyu Min",19850121,184,75,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,69446,69446,원태인,P,18,"Won, Tae In",20000406,183,92,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,68463,68463,윤정빈,OF,31,"Yoon, Jeong Bin",19990624,182,93,Right,Left,X,,
삼성,SAM_LIO,MIN_SAM,52407,52407,윤정훈,IF,107,"Yoon, Jung Hoon",20030706,182,80,Right,Left,X,,
삼성,SAM_LIO,MIN_SAM,69428,69428,이병헌,C,23,"Lee, Byung Heon",19991026,180,87,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,63960,63960,이상민,P,59,"Lee, Sang Min",19901104,180,85,Left,Left,X,,
삼성,SAM_LIO,MIN_SAM,66409,66409,이성규,IF,13,"Lee, Sung Gyu",19930803,178,82,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,51454,51454,이승현,P,54,"Lee, Seung Hyun",20020519,183,102,Left,Left,X,,
삼성,SAM_LIO,MIN_SAM,60146,60146,이승현,P,20,"Lee, Seung Hyun",19911120,181,92,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,75566,75566,이원석,IF,16,"Lee, Won Seok",19861021,182,82,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,63492,63492,이재익,P,45,"Lee, Jae Ik",19940318,180,76,Left,Left,X,,
삼성,SAM_LIO,MIN_SAM,52415,52415,이재현,IF,7,"Lee, Jae Hyun",20030204,180,82,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,51460,51460,이재희,P,46,"Lee, Jae Hee",20011011,187,88,Right,Left,X,,
삼성,SAM_LIO,MIN_SAM,68466,68466,이태훈,IF,35,"Lee, Tae Hun",19950403,183,95,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,69416,69416,이해승,IF,67,"Lee, Hae Seung",20000801,180,86,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,53455,53455,이호성,P,55,"Lee, Ho Sung",20040814,184,87,Right,Right,O,X,
삼성,SAM_LIO,MIN_SAM,52417,52417,장재혁,P,117,"Jang, Jae Hyuk",20020816,177,79,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,77927,77927,장필준,P,26,"Jang, Pill Joon",19880408,190,90,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,50414,50414,정진수,C,112,"Jeong, Jin Su",19970925,177,93,Right,Left,X,,
삼성,SAM_LIO,MIN_SAM,52405,52405,조민성,IF,32,"Cho, Min Sung",20031002,181,88,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,66451,66451,최충연,P,51,"Choi, Chung Yeon",19970305,190,85,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,68501,68501,최하늘,P,19,"Choi, Ha Neul",19990326,190,99,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,51463,517369,피렐라,OF,63,"Pirela, Jose",19891121,183,99,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,50449,50449,허윤동,P,49,"Heo, Yun Dong",20010619,181,90,Left,Left,X,,
삼성,SAM_LIO,MIN_SAM,51462,51462,홍무원,P,62,"Hong, Moo Won",20020111,188,92,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,51408,51408,홍승원,P,108,"Hong, Seung Won",20011206,185,93,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,65496,65496,홍정우,P,11,"Hong, Joung Woo",19960316,182,85,Right,Right,X,,
삼성,SAM_LIO,MIN_SAM,50441,50441,황동재,P,61,"Hwang, Dong Jae",20011103,191,97,Right,Right,X,,
키움,KIW_HER,MIN_HER,53312,53312,김건희,P,12,"Kim, Gun Hee",20041107,185,96,Right,Right,O,X,
키움,KIW_HER,MIN_HER,50393,50393,김동욱,P,65,"Kim, Dong Uk",19970516,178,83,Right,Right,X,,
키움,KIW_HER,MIN_HER,53344,53344,김동헌,C,44,"Kim, Dong Heon",20040715,182,91,Right,Right,O,X,
키움,KIW_HER,MIN_HER,50360,50360,김동혁,P,60,"Kim, Dong Hyeok",20011227,185,84,Right,Right,X,,
키움,KIW_HER,MIN_HER,52398,52398,김리안,C,37,"Kim, Ri Ahn",20031125,183,87,Right,Right,X,,
키움,KIW_HER,MIN_HER,66018,66018,김선기,P,49,"Kim, Seon Gi",19910901,186,98,Right,Right,X,,
키움,KIW_HER,MIN_HER,51301,51301,김성진,P,34,"Kim, Seong Jin",19971114,183,77,Right,Left,X,,
키움,KIW_HER,MIN_HER,68346,68346,김수환,IF,31,"Kim, Su Hwan",19980320,180,91,Right,Right,X,,
키움,KIW_HER,MIN_HER,51303,51303,김시앙,C,26,"Kim, Si Ang",20011031,177,79,Right,Right,X,,
키움,KIW_HER,MIN_HER,69393,69393,김신회,OF,98,"Kim, Shin Hoe",19990714,177,75,Left,Left,O,X,
키움,KIW_HER,MIN_HER,65898,65898,김웅빈,IF,1,"Kim, Woong Bin",19960209,182,97,Right,Left,X,,
키움,KIW_HER,MIN_HER,67391,67391,김재웅,P,28,"Kim, Jae Woong",19981022,174,86,Left,Left,X,,
키움,KIW_HER,MIN_HER,62332,62332,김재현,C,32,"Kim, Jae Hyun",19930318,178,90,Right,Right,X,,
키움,KIW_HER,MIN_HER,65392,65392,김정인,P,19,"Kim, Jeong In",19960603,184,80,Right,Right,X,,
키움,KIW_HER,MIN_HER,69306,69306,김주형,IF,6,"Kim, Ju Hyung",19960305,176,84,Right,Right,X,,
키움,KIW_HER,MIN_HER,63920,63920,김준완,OF,10,"Kim, Jun Wan",19910120,174,73,Right,Left,X,,
키움,KIW_HER,MIN_HER,51393,51393,김준형,P,93,"Kim, Joon Hyoung",20020712,182,91,Right,Right,X,,
키움,KIW_HER,MIN_HER,64984,64984,김태진,IF,2,"Kim, Tae Jin",19951007,170,73,Right,Left,X,,
키움,KIW_HER,MIN_HER,62360,62360,김태훈,P,17,"Kim, Tae Hoon",19920302,187,101,Right,Right,X,,
키움,KIW_HER,MIN_HER,67304,67304,김혜성,IF,3,"Kim, Hye Seong",19990127,180,80,Right,Left,X,,
키움,KIW_HER,MIN_HER,51344,51344,김휘집,IF,33,"Kim, Whee Jip",20020101,181,92,Right,Right,X,,
키움,KIW_HER,MIN_HER,52394,52394,노운현,P,94,"No, Woon Hyun",20030622,186,76,Right,Right,X,,
키움,KIW_HER,MIN_HER,50350,608365,러셀,IF,27,"Russell, Addison",19940123,183,90,Right,Right,O,X,
키움,KIW_HER,MIN_HER,60336,60336,문성현,P,21,"Moon, Sung Hyun",19911109,180,89,Right,Right,X,,
키움,KIW_HER,MIN_HER,53305,53305,박성빈,C,5,"Park, Sung Bin",20040421,178,94,Right,Right,O,X,
키움,KIW_HER,MIN_HER,52305,52305,박수종,OF,14,"Park, Soo Jong",19990225,179,82,Right,Right,X,,
키움,KIW_HER,MIN_HER,66305,66305,박승주,P,42,"Park, Seung Joo",19940212,181,96,Right,Right,X,,
키움,KIW_HER,MIN_HER,53301,53301,박윤성,P,1,"Park, Yoon Sung",20040208,183,96,Right,Right,O,X,
키움,KIW_HER,MIN_HER,69328,69328,박주성,P,101,"Park, Ju Seong",20001109,181,90,Right,Right,X,,
키움,KIW_HER,MIN_HER,65348,65348,박주현,P,68,"Park, Ju Hyun",19960619,184,112,Right,Right,X,,
키움,KIW_HER,MIN_HER,50357,50357,박주홍,OF,57,"Park, Ju Hong",20010416,187,87,Left,Left,X,,
키움,KIW_HER,MIN_HER,64657,64657,박준태,OF,23,"Park, Jun Tae",19910726,182,88,Right,Left,X,,
