team,team_tm_major,team_tm_minor,KBO_ID,TM_ID,NAME,POS,BackNum,engName,Birthday,Height,Weight,PitcherThrows,BatterSide
KIA,KIA_TIG,MIN_KIA,53659,53659,정해원,IF,59,"Jung, Hae Won",20040521,185,87,Right,Right
KIA,KIA_TIG,MIN_KIA,54667,54667,조대현,P,67,"Cho, Dae Hyun",20050219,192,85,Right,Right
KIA,KIA_TIG,MIN_KIA,66354,66354,주효상,C,22,"Joo, Hyo Sang",19971111,182,85,Right,Left
KIA,KIA_TIG,MIN_KIA,66807,66807,최수빈,IF,13,"Choi, Soo Bin",19970408,176,80,Right,Left
KIA,KIA_TIG,MIN_KIA,66606,66606,최원준,OF,16,"Choi, Won Jun",19970323,178,85,Right,Left
KIA,KIA_TIG,MIN_KIA,65464,65464,최정용,IF,23,"Choi, Jeong Yong",19961024,178,75,Right,Left
KIA,KIA_TIG,MIN_KIA,52639,52639,최지민,P,39,"Choi, Ji Min",20030910,185,100,Left,Left
KIA,KIA_TIG,MIN_KIA,54611,54611,최지웅,P,35,"Choi, Ji Woong",20040514,184,96,Right,Right
KIA,KIA_TIG,MIN_KIA,72443,72443,최형우,OF,34,"Choi, Hyoung Woo",19831216,180,106,Right,Left
KIA,KIA_TIG,MIN_KIA,54612,640444,크로우,P,12,"Crowe, Wil",19940909,185,108,Right,Right
KIA,KIA_TIG,MIN_KIA,63722,63722,한승택,C,26,"Han, Seung Taek",19940621,174,83,Right,Right
KIA,KIA_TIG,MIN_KIA,68646,68646,한준수,C,55,"Han, Jun Su",19990213,184,95,Right,Left
KIA,KIA_TIG,MIN_KIA,69643,69643,홍원빈,P,21,"Hong, Won Bin",20001016,195,101,Right,Right
KIA,KIA_TIG,MIN_KIA,50600,50600,홍종표,IF,6,"Hong, Jong Pyo",20000502,178,72,Right,Left
KIA,KIA_TIG,MIN_KIA,65610,65610,황대인,IF,52,"Hwang, Dae In",19960210,178,100,Right,Right
KIA,KIA_TIG,MIN_KIA,52641,52641,황동하,P,41,"Hwang, Dong Ha",20020730,183,96,Right,Right
KT,KT_WIZ,MIN_KTW,69064,69064,강민성,IF,5,"Kang, Min Sung",19991208,180,85,Right,Right
KT,KT_WIZ,MIN_KTW,68050,68050,강백호,IF,50,"Kang, Baek Ho",19990729,184,98,Right,Left
KT,KT_WIZ,MIN_KTW,50066,50066,강현우,C,55,"Kang, Hyeon Woo",20010413,180,90,Right,Right
KT,KT_WIZ,MIN_KTW,64001,64001,고영표,P,1,"Ko, Young Pyo",19910916,187,88,Right,Right
KT,KT_WIZ,MIN_KTW,53049,53049,김건웅,P,49,"Kim, Geon Ung",20040412,187,90,Left,Right
KT,KT_WIZ,MIN_KTW,51005,51005,김건형,OF,0,"Kim, Geon Hyoung",19960712,182,83,Right,Left
KT,KT_WIZ,MIN_KTW,51008,51008,김규대,OF,105,"Kim, Kyu Dae",20020313,182,90,Right,Right
KT,KT_WIZ,MIN_KTW,68043,68043,김민,P,11,"Kim, Min",19990414,185,88,Right,Right
KT,KT_WIZ,MIN_KTW,54097,54097,김민석,C,97,"Kim, Min Seok",20050722,181,93,Right,Right
KT,KT_WIZ,MIN_KTW,54094,54094,김민성,P,94,"Kim, Min Sung",20050828,180,83,Right,Right
KT,KT_WIZ,MIN_KTW,65048,65048,김민수,P,26,"Kim, Min Su",19920724,188,80,Right,Right
KT,KT_WIZ,MIN_KTW,64004,64004,김민혁,OF,53,"Kim, Min Hyuck",19951121,181,71,Right,Left
KT,KT_WIZ,MIN_KTW,52002,52002,김병준,OF,57,"Kim, Byung Jun",20030703,175,80,Right,Left
KT,KT_WIZ,MIN_KTW,79402,79402,김상수,IF,7,"Kim, Sang Su",19900323,175,68,Right,Right
KT,KT_WIZ,MIN_KTW,50093,50093,김성균,IF,93,"Kim, Sung Kyun",20010706,185,93,Left,Left
KT,KT_WIZ,MIN_KTW,51097,51097,김영현,P,48,"Kim, Young Hyun",20020818,178,81,Right,Right
KT,KT_WIZ,MIN_KTW,53029,53029,김정운,P,62,"Kim, Jeong Woon",20040421,184,84,Right,Right
KT,KT_WIZ,MIN_KTW,62558,62558,김준태,C,44,"Kim, Jun Tae",19940731,175,91,Right,Left
KT,KT_WIZ,MIN_KTW,54013,54013,김지민,P,113,"Kim, Ji Min",20010921,175,78,Right,Right
KT,KT_WIZ,MIN_KTW,68906,68906,김철호,IF,9,"Kim, Cheol Ho",19980206,182,87,Right,Left
KT,KT_WIZ,MIN_KTW,66064,66064,김태오,P,20,"Kim, Tae O",19970729,183,84,Left,Left
KT,KT_WIZ,MIN_KTW,67025,592692,로하스,OF,3,"Rojas, Mel",19900524,189,102,Right,Switch
KT,KT_WIZ,MIN_KTW,53036,53036,류현인,IF,36,"Ryu, Hyun In",20001108,174,80,Right,Left
KT,KT_WIZ,MIN_KTW,64007,64007,문상철,OF,24,"Moon, Sang Chul",19910406,184,85,Right,Right
KT,KT_WIZ,MIN_KTW,67419,67419,문용익,P,13,"Mon, Yong Ik",19950204,178,93,Right,Right
KT,KT_WIZ,MIN_KTW,73113,73113,박경수,IF,6,"Park, Kyung Su",19840331,178,80,Right,Right
KT,KT_WIZ,MIN_KTW,69056,69056,박민석,IF,25,"Park, Min Seok",20000413,180,77,Right,Right
KT,KT_WIZ,MIN_KTW,75125,75125,박병호,IF,52,"Park, Byung Ho",19860710,185,107,Right,Right
KT,KT_WIZ,MIN_KTW,66047,66047,박세진,P,33,"Park, Se Jin",19970627,178,93,Left,Left
KT,KT_WIZ,MIN_KTW,60559,60559,박시영,P,46,"Park, Si Young",19890310,180,88,Right,Right
KT,KT_WIZ,MIN_KTW,68068,68068,박시윤,P,67,"Park, Si Yun",19990308,185,90,Left,Left
KT,KT_WIZ,MIN_KTW,52060,52060,박영현,P,60,"Park, Young Hyun",20031011,183,91,Right,Right
KT,KT_WIZ,MIN_KTW,54008,54008,박정현,IF,108,"Park, Jung Hyun",20050524,184,80,Right,Switch
KT,KT_WIZ,MIN_KTW,54009,54009,박태완,IF,109,"Park, Tae Wan",20050904,173,77,Right,Right
KT,KT_WIZ,MIN_KTW,64166,64166,배정대,OF,27,"Bae, Jung Dae",19950612,185,80,Right,Right
KT,KT_WIZ,MIN_KTW,52043,605138,벤자민,P,43,"Benjamin, Wes",19930726,188,95,Left,Left
KT,KT_WIZ,MIN_KTW,50109,50109,성재헌,P,95,"Sung, Jae Heon",19971222,175,82,Left,Left
KT,KT_WIZ,MIN_KTW,50030,50030,소형준,P,30,"So, Hyeong Jun",20010916,189,92,Right,Right
KT,KT_WIZ,MIN_KTW,69041,69041,손동현,P,41,"Son, Dong Hyun",20010123,183,88,Right,Right
KT,KT_WIZ,MIN_KTW,64012,64012,송민섭,OF,12,"Song, Min Sub",19910802,177,80,Right,Right
KT,KT_WIZ,MIN_KTW,51057,51057,신범준,P,47,"Shin, Bum Joon",20020601,189,78,Right,Left
KT,KT_WIZ,MIN_KTW,68067,68067,신병률,P,15,"Shin, Byung Ryul",19960130,175,83,Right,Right
KT,KT_WIZ,MIN_KTW,62556,62556,신본기,IF,56,"Shin, Bon Ki",19890321,179,88,Right,Right
KT,KT_WIZ,MIN_KTW,54007,54007,신호준,OF,107,"Shin, Ho Jun",20041021,186,90,Right,Right
KT,KT_WIZ,MIN_KTW,67006,67006,안치영,OF,8,"An, Chi Young",19980529,176,72,Right,Left
KT,KT_WIZ,MIN_KTW,68002,68002,양승혁,IF,39,"Yang, Seung Hyuk",19990929,173,68,Right,Left
KT,KT_WIZ,MIN_KTW,65056,65056,엄상백,P,18,"Um, Sang Back",19961004,187,72,Right,Right
KT,KT_WIZ,MIN_KTW,64504,64504,오윤석,IF,4,"Oh, Yoon Suk",19920224,180,87,Right,Right
KT,KT_WIZ,MIN_KTW,73117,73117,우규민,P,21,"Woo, Kyu Min",19850121,184,75,Right,Right
KT,KT_WIZ,MIN_KTW,54063,54063,원상현,P,63,"Weon, Sang Hyun",20041016,183,83,Right,Right
KT,KT_WIZ,MIN_KTW,54064,54064,육청명,P,64,"Yook, Chung Myoung",20050718,186,90,Right,Right
KT,KT_WIZ,MIN_KTW,68093,68093,윤강찬,P,65,"Yoon, Kang Chan",19980424,185,72,Right,Right
KT,KT_WIZ,MIN_KTW,50092,50092,윤준혁,IF,35,"Yoon, Jun Hyuk",20010726,186,86,Right,Right
KT,KT_WIZ,MIN_KTW,54010,54010,이근혁,P,110,"Lee, Geun Hyuk",20010529,184,79,Right,Right
KT,KT_WIZ,MIN_KTW,69054,69054,이상동,P,37,"Lee, Sang Dong",19951124,181,88,Right,Right
KT,KT_WIZ,MIN_KTW,69068,69068,이선우,P,61,"Lee, Sun Woo",20000919,186,90,Right,Right
KT,KT_WIZ,MIN_KTW,54012,54012,이승언,P,112,"Lee, Seung Eon",20050304,186,95,Right,Right
KT,KT_WIZ,MIN_KTW,54011,54011,이승현,C,111,"Lee, Seung Hyun",20050126,184,90,Right,Left
KT,KT_WIZ,MIN_KTW,67048,67048,이정현,P,51,"Lee, Jung Hyun",19971205,188,93,Right,Right
KT,KT_WIZ,MIN_KTW,67066,67066,이종혁,P,66,"Lee, Jong Hyeok",19970529,190,86,Right,Right
KT,KT_WIZ,MIN_KTW,53005,53005,이준명,P,101,"Lee, Jun Myung",20021218,193,100,Right,Right
KT,KT_WIZ,MIN_KTW,53001,53001,이준희,C,92,"Lee, Jun Hee",20040106,183,85,Right,Right
KT,KT_WIZ,MIN_KTW,68896,68896,이채호,P,17,"Lee, Chae Ho",19981123,185,85,Right,Right
KT,KT_WIZ,MIN_KTW,69623,69623,이태규,P,45,"Lee, Tae Gyu",20000221,188,72,Right,Left
KT,KT_WIZ,MIN_KTW,68504,68504,이호연,IF,34,"Lee, Ho Yeon",19950603,177,87,Right,Left
KT,KT_WIZ,MIN_KTW,78548,78548,장성우,C,22,"Jang, Sung Woo",19900117,187,100,Right,Right
KT,KT_WIZ,MIN_KTW,64115,64115,장준원,IF,16,"Jang, Jun Won",19951121,183,77,Right,Right
KT,KT_WIZ,MIN_KTW,69047,69047,전용주,P,29,"Jeon, Yong Ju",20000212,188,87,Left,Left
KT,KT_WIZ,MIN_KTW,53058,53058,정준영,OF,58,"Jeong, Jun Young",20040126,173,73,Left,Left
KT,KT_WIZ,MIN_KTW,53004,53004,정진호,P,104,"Jung, Jin Ho",20040920,181,79,Right,Right
KT,KT_WIZ,MIN_KTW,68089,68089,조대현,C,42,"Cho, Dae Hyun",19990806,183,81,Right,Right
KT,KT_WIZ,MIN_KTW,50114,50114,조용근,P,102,"Cho, Yong Geun",19960101,187,100,Right,Right
KT,KT_WIZ,MIN_KTW,64868,64868,조용호,OF,23,"Cho, Yong Ho",19890909,170,75,Right,Left
KT,KT_WIZ,MIN_KTW,64768,64768,조이현,P,54,"Jo, Yi Hyun",19950627,185,95,Right,Left
KT,KT_WIZ,MIN_KTW,65060,65060,주권,P,38,"Ju, Kwon",19950531,181,82,Right,Right
KT,KT_WIZ,MIN_KTW,50054,50054,천성호,IF,14,"Cheon, Seong Ho",19971030,183,85,Right,Left
KT,KT_WIZ,MIN_KTW,51007,51007,최성민,OF,69,"Choi, Seong Min",20020705,179,84,Left,Left
KT,KT_WIZ,MIN_KTW,54006,54006,최윤서,P,106,"Choi, Yoon Seo",20030321,185,95,Right,Right
KT,KT_WIZ,MIN_KTW,53010,53010,최정태,OF,100,"Choi, Jung Tae",19990910,183,93,Right,Right
KT,KT_WIZ,MIN_KTW,69032,571035,쿠에바스,P,32,"Cuevas, William",19901014,188,98,Right,Switch
KT,KT_WIZ,MIN_KTW,78517,78517,하준호,P,28,"Ha, Jun Ho",19890429,174,78,Left,Left
KT,KT_WIZ,MIN_KTW,53096,53096,한민우,P,96,"Han, Min Woo",19990427,177,82,Left,Left
KT,KT_WIZ,MIN_KTW,51058,51058,한차현,P,59,"Han, Cha Hyeon",19981130,180,80,Right,Right
KT,KT_WIZ,MIN_KTW,67005,67005,홍현빈,OF,31,"Hong, Hyeon Bin",19970829,174,70,Right,Left
KT,KT_WIZ,MIN_KTW,53003,53003,황의준,OF,103,"Hwang, Eui Jun",20020406,185,95,Right,Left
KT,KT_WIZ,MIN_KTW,76313,76313,황재균,IF,10,"Hwang, Jae Gyun",19870728,183,96,Right,Right
LG,LG_TWI,MIN_LGT,50105,50105,강민,P,100,"Kang, Min",20010420,188,88,Right,Right
LG,LG_TWI,MIN_LGT,54104,54104,강석현,P,104,"Kang, Seok Hyun",20050517,185,90,Left,Left
LG,LG_TWI,MIN_LGT,51143,51143,강효종,P,46,"Kang, Hyo Jong",20021014,184,86,Right,Right
LG,LG_TWI,MIN_LGT,69100,69100,구본혁,IF,6,"Gu, Bon Hyeok",19970111,177,75,Right,Right
LG,LG_TWI,MIN_LGT,51109,51109,김단우,P,109,"Kim, Dan Woo",20010105,188,96,Right,Right
LG,LG_TWI,MIN_LGT,54164,54164,김대원,IF,64,"Kim, Dae Won",20011107,172,70,Right,Right
LG,LG_TWI,MIN_LGT,66145,66145,김대현,P,12,"Kim, Dae Hyun",19970308,188,100,Right,Right
LG,LG_TWI,MIN_LGT,54107,54107,김도윤,IF,107,"Kim, Do Yoon",20050217,180,71,Right,Right
LG,LG_TWI,MIN_LGT,67504,67504,김민수,IF,53,"Kim, Min Su",19980318,184,97,Right,Right
LG,LG_TWI,MIN_LGT,53144,53144,김범석,C,55,"Kim, Beom Seok",20040521,178,110,Right,Right
LG,LG_TWI,MIN_LGT,52105,52105,김성우,C,44,"Kim, Sung Woo",20031115,180,85,Right,Right
LG,LG_TWI,MIN_LGT,69105,69105,김성진,IF,36,"Kim, Sung Jin",20000317,183,100,Right,Right
LG,LG_TWI,MIN_LGT,68130,68130,김영준,P,35,"Kim, Young Jun",19990112,185,90,Right,Right
LG,LG_TWI,MIN_LGT,64596,64596,김유영,P,0,"Kim, Yu Yeong",19940502,180,83,Left,Left
LG,LG_TWI,MIN_LGT,50157,50157,김윤식,P,47,"Kim, Yun Sik",20000403,181,83,Left,Left
LG,LG_TWI,MIN_LGT,68109,68109,김의준,P,115,"Kim, Eui Jun",19991016,183,80,Right,Right
LG,LG_TWI,MIN_LGT,54103,54103,김종우,P,103,"Kim, Jong Woo",20050207,187,90,Right,Right
LG,LG_TWI,MIN_LGT,66162,66162,김주성,IF,5,"Kim, Ju Sung",19980130,180,81,Right,Right
LG,LG_TWI,MIN_LGT,75867,75867,김진성,P,42,"Kim, Jin Sung",19850307,186,90,Right,Right
LG,LG_TWI,MIN_LGT,51154,51154,김진수,P,45,"Kim, Jin Su",19980831,179,82,Right,Right
LG,LG_TWI,MIN_LGT,50115,50115,김태우,IF,43,"Kim, Tae Woo",19971019,178,81,Right,Right
LG,LG_TWI,MIN_LGT,76290,76290,김현수,OF,22,"Kim, Hyun Soo",19880112,188,105,Right,Left
LG,LG_TWI,MIN_LGT,54166,54166,김현종,OF,66,"Kim, Hyun Jong",20040804,186,85,Right,Right
LG,LG_TWI,MIN_LGT,51103,51103,김형욱,IF,102,"Kim, Hyeong Uk",20020129,187,90,Right,Right
LG,LG_TWI,MIN_LGT,69102,69102,문보경,IF,2,"Moon, Bo Gyeong",20000719,182,88,Right,Left
LG,LG_TWI,MIN_LGT,68119,68119,문성주,OF,8,"Moon, Sung Ju",19970220,175,78,Left,Left
LG,LG_TWI,MIN_LGT,79365,79365,박동원,C,27,"Park, Dong Won",19900407,178,92,Right,Right
LG,LG_TWI,MIN_LGT,53139,53139,박명근,P,39,"Park, Myung Geun",20040327,174,75,Right,Right
LG,LG_TWI,MIN_LGT,51112,51112,박민호,C,106,"Park, Min Ho",19980406,177,80,Right,Right
LG,LG_TWI,MIN_LGT,62415,62415,박해민,OF,17,"Park, Hae Min",19900224,180,75,Right,Left
LG,LG_TWI,MIN_LGT,54116,54116,배강,C,116,"Bae, Kang",20051104,185,95,Right,Right
LG,LG_TWI,MIN_LGT,63145,63145,배재준,P,25,"Bae, Jae June",19941124,188,85,Right,Right
LG,LG_TWI,MIN_LGT,68096,68096,백선기,P,114,"Baek, Seon Gi",19980827,186,70,Left,Left
LG,LG_TWI,MIN_LGT,65109,65109,백승현,P,18,"Baek, Seung Hyeon",19950526,183,90,Right,Right
LG,LG_TWI,MIN_LGT,68159,68159,성동현,P,58,"Sung, Dong Hyun",19990518,189,108,Right,Right
LG,LG_TWI,MIN_LGT,54156,54156,손용준,IF,56,"Son, Yung Jun",20000215,178,85,Right,Right
LG,LG_TWI,MIN_LGT,67143,67143,손주영,P,29,"Son, Ju Young",19981202,191,95,Left,Left
LG,LG_TWI,MIN_LGT,50150,50150,손호영,IF,7,"Son, Ho Young",19940823,182,88,Right,Right
LG,LG_TWI,MIN_LGT,68110,68110,송찬의,IF,14,"Song, Chan Eui",19990220,182,77,Right,Right
LG,LG_TWI,MIN_LGT,65207,65207,신민재,IF,4,"Shin, Min Jae",19960121,171,67,Right,Left
LG,LG_TWI,MIN_LGT,54108,54108,심규빈,OF,108,"Sim, Kyu Bin",20010327,181,81,Right,Left
LG,LG_TWI,MIN_LGT,65115,65115,안익훈,OF,15,"An, Ik Hun",19960212,176,76,Left,Left
LG,LG_TWI,MIN_LGT,54134,608650,엔스,P,34,"Enns, Dietrich",19910516,185,95,Left,Left
LG,LG_TWI,MIN_LGT,53123,621573,오스틴,IF,23,"Dean, Austin",19931014,183,97,Right,Right
LG,LG_TWI,MIN_LGT,54105,54105,오승윤,P,105,"Oh, Seung Yoon",20010625,178,84,Left,Left
LG,LG_TWI,MIN_LGT,79109,79109,오지환,IF,10,"Oh, Ji Hwan",19900312,185,80,Right,Left
LG,LG_TWI,MIN_LGT,50106,50106,유영찬,P,54,"Yoo, Young Chan",19970307,185,90,Right,Right
LG,LG_TWI,MIN_LGT,63961,63961,윤호솔,P,28,"Yoon, Ho Sol",19940715,183,110,Right,Right
